,Date,Study,Study Link,Journal,Study Type,Detection Method,Sample Size,Measure of Testing Accuracy,Speed of assay,FDA approval (Y/N),Added on
10,2020-02-26,2019 Novel Coronavirus Disease (COVID-19): Paving the Road for Rapid Detection and Point-of-Care Diagnostics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7142866/,Micromachines,Review,rRT-PCR,-,"RT-LAMP Sensitivity >95%; PCR Diagnostic sensitivity of 95%, Sensitivity of Serology 88.66%",RT-LAMP <1 hr; PCR 2-3 days;,Y,2020-04-25
11,2020-02-26,2019 Novel Coronavirus Disease (COVID-19): Paving the Road for Rapid Detection and Point-of-Care Diagnostics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7142866/,Micromachines,Review,RT-LAMP,-,"RT-LAMP Sensitivity >95%; PCR Diagnostic sensitivity of 95%, Sensitivity of Serology 88.66%",RT-LAMP <1 hr; PCR 2-3 days;,Y,2020-04-25
12,2020-02-26,2019 Novel Coronavirus Disease (COVID-19): Paving the Road for Rapid Detection and Point-of-Care Diagnostics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7142866/,Micromachines,Review,Serology,-,"RT-LAMP Sensitivity >95%; PCR Diagnostic sensitivity of 95%, Sensitivity of Serology 88.66%",RT-LAMP <1 hr; PCR 2-3 days;,Y,2020-04-25
13,2020-02-25,Development and Evaluation of A CRISPR-based Diagnostic 2 For 2019-novel Coronavirus,https://www.medrxiv.org/content/10.1101/2020.02.22.20025460v2,medRxiv,Simulation Study,CRISPR,52,"PCR- and CRISPR-nCoV both had a specificity of 100% in our study.PCR-nCoV was able to detect the virus in 90.4% (47/52) of the positive 240 cases, with Ct’s ranging from 28.8 to 40.4 and a median Ct of 35.8. CRISPR showed a greater sensitivity [than PCR] by detecting all 52 244 nCoV-confirmed cases (100%), with FC values ranging from 5.0 to 66.3 and a median FC of 245 22.8 (Figure 4A).",40 mins,Y,2020-04-25
14,2020-02-25,Development and Evaluation of A CRISPR-based Diagnostic 2 For 2019-novel Coronavirus,https://www.medrxiv.org/content/10.1101/2020.02.22.20025460v2,medRxiv,Simulation Study,mNGS,52,"PCR- and CRISPR-nCoV both had a specificity of 239 100% in our study.PCR-nCoV was able to detect the virus in 90.4% (47/52) of the positive 240 cases, with Ct’s ranging from 28.8 to 40.4 and a median Ct of 35.8. CRISPR showed a greater sensitivity [than PCR] by detecting all 52 244 nCoV-confirmed cases (100%), with FC values ranging from 5.0 to 66.3 and a median FC of 245 22.8 (Figure 4A).",40 mins,Y,2020-04-25
15,2020-02-25,Development and Evaluation of A CRISPR-based Diagnostic 2 For 2019-novel Coronavirus,https://www.medrxiv.org/content/10.1101/2020.02.22.20025460v2,medRxiv,Simulation Study,rRT-PCR,52,"PCR- and CRISPR-nCoV both had a specificity of 239 100% in our study.PCR-nCoV was able to detect the virus in 90.4% (47/52) of the positive 240 cases, with Ct’s ranging from 28.8 to 40.4 and a median Ct of 35.8. CRISPR showed a greater sensitivity [than PCR] by detecting all 52 244 nCoV-confirmed cases (100%), with FC values ranging from 5.0 to 66.3 and a median FC of 245 22.8 (Figure 4A).",40 mins,Y,2020-04-25
16,2020-01-22,Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988269/,Eurosurveillance,Investigative Study,RT-PCR,297,"All assays were highly sensitive, with best results obtained for the E gene and RdRp gene assays (5.2 and 3.8 copies per reaction at 95% detection probability, respectively).",2.5 hr,Y,2020-04-25
17,2020-01-31,Molecular Diagnosis of a Novel Coronavirus (2019-nCoV) Causing an Outbreak of Pneumonia,https://academic.oup.com/clinchem/article/66/4/549/5719336,Clinical Chemistry,Investigative Study,One step RT-PCR,2,"The amplification efficiencies of ORF1b and N gene assays were 99.6% and 95.4%, respectively (R2 > 0.99 in both cases).",75 mins,N,2020-04-25
18,2020-02-04,Recent advances in the detection of respiratory virus infection in humans Journal of Medical Virology,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25674,Journal of Medical Virology,Investigative Study,RT-PCR ,-,"Sensitivity and specificity of rRT‐PCR kits for detecting upE and ORF1a reach 100% (95% confidence interval [CI], 0.60‐1.00) and 100% (95% CI, 0.79‐1.00), respectively.",-,Y,2020-04-25
19,2020-02-04,Recent advances in the detection of respiratory virus infection in humans Journal of Medical Virology,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25674,Journal of Medical Virology,Investigative Study,rRT-PCR,-,"Sensitivity and specificity of rRT‐PCR kits for detecting upE and ORF1a reach 100% (95% confidence interval [CI], 0.60‐1.00) and 100% (95% CI, 0.79‐1.00), respectively.",-,Y,2020-04-25
20,2020-02-04,Recent advances in the detection of respiratory virus infection in humans Journal of Medical Virology,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25674,Journal of Medical Virology,Investigative Study,"RT-LAMP,",-,"The RT‐LAMP‐VF assay can detect 2 × 101 copies/μL of synthesized RNA transcript and 1 × 101 copies/μL of MERS‐CoV RNA without cross‐reactivity to multiple SARS‐related‐CoVs, including HKU1, HKU4, OC43 and 229E, thus exhibiting high specificity.",RT-LAMP <20 mins,Y,2020-04-25
21,2020-02-04,Recent advances in the detection of respiratory virus infection in humans Journal of Medical Virology,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25674,Journal of Medical Virology,Investigative Study,"RT-LAMP,",-,"The RT‐LAMP‐VF assay can detect 2 × 101 copies/μL of synthesized RNA transcript and 1 × 101 copies/μL of MERS‐CoV RNA without cross‐reactivity to multiple SARS‐related‐CoVs, including HKU1, HKU4, OC43 and 229E, thus exhibiting high specificity.",RT-LAMP <20 mins,Y,2020-04-25
22,2020-02-13,Clinical diagnosis of 8274 samples with 2019-novel coronavirus in Wuhan medrxiv,https://www.medrxiv.org/content/10.1101/2020.02.12.20022327v2,medRxiv,Investigative Study,rRT-PCR,8274,-,< 24 hrs,Y,2020-04-25
23,2/16/2020,"A  Single and Two-Stage, Closed-Tube, Molecular Test for the 2019  Novel Coronavirus (COVID-19)at Home, Clinic, and Points of Entry",https://chemrxiv.org/articles/A_Single_and_Two-Stage_Closed-Tube_Molecular_Test_for_the_2019_Novel_Coronavirus_COVID-19_at_Home_Clinic_and_Points_of_Entry/11860137,ChemRxiv,Investigative Study,RT-LAMP,-,COVID-19 LAMP and COVID-19 PCR provided 100% sensitivity at 700 viral particles per reaction and 75% sensitivity at 70 viral copies per reaction. ,<1 Hour,N,2020-04-25
24,2/16/2020,"A  Single and Two-Stage, Closed-Tube, Molecular Test for the 2019  Novel Coronavirus (COVID-19)at Home, Clinic, and Points of Entry",https://chemrxiv.org/articles/A_Single_and_Two-Stage_Closed-Tube_Molecular_Test_for_the_2019_Novel_Coronavirus_COVID-19_at_Home_Clinic_and_Points_of_Entry/11860138,ChemRxiv,Investigative Study,Penn-RAMP,-,COVID-19 Closed-Tube Penn-RAMP provided 100% Sensitivity,<1 Hour,N,2020-04-25
25,2/16/2020,"A  Single and Two-Stage, Closed-Tube, Molecular Test for the 2019  Novel Coronavirus (COVID-19)at Home, Clinic, and Points of Entry",https://chemrxiv.org/articles/A_Single_and_Two-Stage_Closed-Tube_Molecular_Test_for_the_2019_Novel_Coronavirus_COVID-19_at_Home_Clinic_and_Points_of_Entry/11860139,ChemRxiv,Investigative Study,RT-PCR,-,COVID-19 LAMP and COVID-19 PCR provided 100% sensitivity at 700 viral particles per reaction and 75% sensitivity at 70 viral copies per reaction,<1 Hour,N,2020-04-25
26,2020-02-19,"2019 novel coronavirus disease (COVID-19) in Taiwan: Reports of two cases from Wuhan, China Journal of Microbiology, Immunology and Infection",https://www.sciencedirect.com/science/article/pii/S1684118220300372?via%3Dihub,"Journal of Microbiology, Immunology and Infection",Investigative Study,RT-PCR ,2,-,Hours,Y,2020-04-25
27,2020-02-23,Comparison of throat swabs and sputum specimens for viral nucleic acid detection in 52 cases of novel coronavirus (SARS-Cov-2) infected pneumonia (COVID-19),https://www.medrxiv.org/content/10.1101/2020.02.21.20026187v1.article-info,medRxiv,Investigative Study,rRT-PCR,54,"The positive rates of 2019-nCoV from sputum specimens and throat swabs 12 were 76.9% and 44.2%, respectively. Sputum specimens showed a significantly 13 higher positive rate than throat swabs in detecting viral nucleic acid using qRT-PCR 14 assay (P=0.001).",1-2 hours,Y,2020-04-25
28,2020-02-24,Rapid colorimetric detection of COVID-19 coronavirus using a reverse transcriptional loop-mediated isothermal amplification (RT-LAMP) diagnostic platform: iLACO,https://www.medrxiv.org/content/10.1101/2020.02.20.20025874v1,medRxiv,Investigative Study,iLAMP,43,"iLACO is very sensitive, and as low as 10 copies of ORF1ab gene were detected successfully.",2-3 hours,Y,2020-04-25
29,2020-02-24,Rapid Detection of Novel Coronavirus (COVID-19) by Reverse Transcription-Loop-Mediated Isothermal Amplification,https://www.medrxiv.org/content/10.1101/2020.02.19.20025155v1,medRxiv,Investigative Study,RT-LAMP,,RT-LAMP is specific and sensitive for COVID-19 (unspecified),RT-LAMP <30mins,Y,2020-04-25
30,2020-02-24,Rapid Detection of Novel Coronavirus (COVID-19) by Reverse Transcription-Loop-Mediated Isothermal Amplification,https://www.medrxiv.org/content/10.1101/2020.02.19.20025155v2,medRxiv,Investigative Study,RT-PCR,,RT-PCR has high sensitivity and specificity,RT-LAMP <30mins,Y,2020-04-25
31,2020-02-25,"SARS-CoV-2 can be detected in urine, blood, anal swabs and oropharyngeal swabs specimens.",https://www.medrxiv.org/content/medrxiv/early/2020/02/25/2020.02.21.20026179.full.pdf,MedRxIV,Investigative Study,RT-PCR,9,"RT-PCR was used to detect SARS-CoV-2 RNA in urine and blood specimens, and anal and oropharyngeal swabs (n=9)",-,N,2020-04-25
32,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,NAAT (PCR),406,"Rapid, poor sensitivity, some are CLIA-waived; Good sensitivity and specificity, subjective interpretation; Gold standard, pure culture for further research and development, time consuming; Retrospective, cross-reaction; ; High sensitivity and specificity for special species, potential quantification; High sensitivity and specificity, covering other pathogens, FilmArray RP EZ is CLIA-waived; Rapid and safe, good sensitivity and specificity, some are CLIA-waived",1–8 h,Y,2020-04-25
33,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,monoplex,406,"Rapid, poor sensitivity, some are CLIA-waived; Good sensitivity and specificity, subjective interpretation; Gold standard, pure culture for further research and development, time consuming; Retrospective, cross-reaction; ; High sensitivity and specificity for special species, potential quantification; High sensitivity and specificity, covering other pathogens, FilmArray RP EZ is CLIA-waived; Rapid and safe, good sensitivity and specificity, some are CLIA-waived",1–8 h,Y,2020-04-25
34,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,pan-HCoV,406,High sensitivity with universal coverage of all species of HCoV,1–8 h,Y,2020-04-25
35,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,specific-HCoV,406,High sensitivity with universal coverage of all species of HCoV,15-30 min,Y,2020-04-25
36,2020-02-25,Laboratory diagnosis of emerging human coronavirus infections – the state of the art,https://www.ncbi.nlm.nih.gov/pubmed/32196430,Emerging Microbes & Infections ,Investigative Study,multiplex,406,"Rapid, poor sensitivity, some are CLIA-waived; Good sensitivity and specificity, subjective interpretation; Gold standard, pure culture for further research and development, time consuming; Retrospective, cross-reaction; ; High sensitivity and specificity for special species, potential quantification; High sensitivity and specificity, covering other pathogens, FilmArray RP EZ is CLIA-waived; Rapid and safe, good sensitivity and specificity, some are CLIA-waived",,,2020-04-25
37,2020-2-26,Diagnosis of the Coronavirus disease (COVID-19): rRT-PCR or CT?,https://www.ejradiology.com/article/S0720-048X(20)30150-9/pdf,European Journal of Radiology,Investigative Study,rRT-PCR,36,first round rRT-PCR sensitivity was 84.6%,RT-PCR 5-6 hrs,Y,2020-04-25
38,2020-02-26,"Potential Rapid Diagnostics, Vaccine and Therapeutics for 2019 Novel Coronavirus (2019-nCoV): A Systematic Review.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7141113/,Journal of Clinical Medicine,Investigative Study,RT-PCR,16 studies," RT-PCR: 52.2%, 78.7%, 74.5%, and 58.1%.",-,Y,2020-04-25
39,2020-02-26,"Potential Rapid Diagnostics, Vaccine and Therapeutics for 2019 Novel Coronavirus (2019-nCoV): A Systematic Review.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7141113/,Journal of Clinical Medicine,Investigative Study,RT-LAMP,16 studies," RT-LAMP was also able to detect viral RNA at levels as low as 0.7 copies, showing equivalence with the RT-PCR assay.",,Y,2020-04-25
40,2020-02-26,"Potential Rapid Diagnostics, Vaccine and Therapeutics for 2019 Novel Coronavirus (2019-nCoV): A Systematic Review.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7141113/,Journal of Clinical Medicine,Investigative Study,RT-iiPCR;,16 studies,"Overall agreement between RT-iiPCR assays and reference RT-qPCR assays for sensitivity, specificity, positive predictive value, and negative predictive value of the test were  98.06% (95% CI, 94.43–100%) and 99.03% (95% CI, 95.88–100%) for ORF1a and upE assays, respectively. ",,Y,2020-04-25
41,2020-02-26,"Potential Rapid Diagnostics, Vaccine and Therapeutics for 2019 Novel Coronavirus (2019-nCoV): A Systematic Review.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7141113/,Journal of Clinical Medicine,Investigative Study,One Step rRT-PCR,16 studies,"Overall agreement between RT-iiPCR assays and reference RT-qPCR assays for sensitivity, specificity, positive predictive value, and negative predictive value of the test were  98.06% (95% CI, 94.43–100%) and 99.03% (95% CI, 95.88–100%) for ORF1a and upE assays, respectively. ",,Y,2020-04-25
42,2020-02-27,"Differential diagnosis of illness in patients under investigation for the novel coronavirus (SARS-CoV-2), Italy, February 2020 Euro Surveill",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7055037/,Eurosurveillance,Investigative Study,rRT-PCR kit (QIAStat-Dx Respiratory Panel),126,"Broad screening for respiratory pathogens revealed a high rate of influenza virus infections, accounting for 28.5% of all suspected cases of SARS-CoV-2 infection.",-,Y,2020-04-25
43,2020-02-29,Rapid Molecular Detection of SARS-CoV-2 (COVID-19) Virus RNA Using Colorimetric LAMP medrxiv,https://www.medrxiv.org/content/10.1101/2020.02.26.20028373v1,medRxiv,Investigative Study,RT-LAMP,19,"Colorimetric LAMP assay showed 100% agreement with the RT-qPCR results across a range of Cq values,",~40 mins,Y,2020-04-25
44,2020-02-29,Rapid Molecular Detection of SARS-CoV-2 (COVID-19) Virus RNA Using Colorimetric LAMP medrxiv,https://www.medrxiv.org/content/10.1101/2020.02.26.20028373v1,medRxiv,Investigative Study,mNGS,19,"Colorimetric LAMP assay showed 100% agreement with the RT-qPCR results across a range of Cq values,",~40 mins,Y,2020-04-25
45,2020-02-29,Rapid Molecular Detection of SARS-CoV-2 (COVID-19) Virus RNA Using Colorimetric LAMP medrxiv,https://www.medrxiv.org/content/10.1101/2020.02.26.20028373v1,medRxiv,Investigative Study,rRT-PCR,19,"Colorimetric LAMP assay showed 100% agreement with the RT-qPCR results across a range of Cq values,",~40 mins,Y,2020-04-25
46,2020-03-01,Recent advances and perspectives of nucleic acid detection for coronavirus,https://www.sciencedirect.com/science/article/pii/S2095177920302082?via%3Dihub,Journal of Pharmaceutical Analysis,Investigative Study,RT-PCR,-,"High Sensitivity and Specificity of RT-PCR; RT-LAMP, Microarray and CRISPR are analagous",-,Y,2020-04-25
47,2020-03-01,Recent advances and perspectives of nucleic acid detection for coronavirus,https://www.sciencedirect.com/science/article/pii/S2095177920302082?via%3Dihub,Journal of Pharmaceutical Analysis,Investigative Study,RT-LAMP,-,"High Sensitivity and Specificity of RT-PCR; RT-LAMP, Microarray and CRISPR are analagous",RT-LAMP> 1hr,Y,2020-04-25
48,2020-03-01,Recent advances and perspectives of nucleic acid detection for coronavirus,https://www.sciencedirect.com/science/article/pii/S2095177920302082?via%3Dihub,Journal of Pharmaceutical Analysis,Investigative Study,CRISPR,-,"High Sensitivity and Specificity of RT-PCR; RT-LAMP, Microarray and CRISPR are analagous",,Y,2020-04-25
49,2020-03-01,Recent advances and perspectives of nucleic acid detection for coronavirus,https://www.sciencedirect.com/science/article/pii/S2095177920302082?via%3Dihub,Journal of Pharmaceutical Analysis,Investigative Study,Microarray,-,"High Sensitivity and Specificity of RT-PCR; RT-LAMP, Microarray and CRISPR are analagous",,Y,2020-04-25
50,2020-03-05,Molecular immune pathogenesis and diagnosis of COVID-19,https://covid19search.azurewebsites.net/home/document?docid=34e2f834075da481cda9ff4d8810fcba05abd96e&query=[{%22value%22:%22Diagnostic%20COVID-19%22}],Clinical Radiology,Investigative Study,RT-PCR,5,"RT-qPCR can only achieve a sensitivity of 50% to 79%, depending on the protocol used the sample type and number of clinical specimens collected.  ",-,Y,2020-04-25
51,2020-03-05,Molecular immune pathogenesis and diagnosis of COVID-19,https://covid19search.azurewebsites.net/home/document?docid=34e2f834075da481cda9ff4d8810fcba05abd96e&query=[{%22value%22:%22Diagnostic%20COVID-19%22}],Clinical Radiology,Investigative Study,HTS,5,-,-,Y,2020-04-25
52,2020-03-11,2019 Novel Coronavirus Disease (COVID-19): Paving the Road for Rapid Detection and Point-of-Care Diagnostics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7142866/,Micromachines,Investigative Study,rRT-PCR,-,"rRT-PCR Diagnostic sensitivity of 95%, Sensitivity of Serology 88.66%", PCR 2-3 days;,Y,2020-04-25
53,2020-03-11,2019 Novel Coronavirus Disease (COVID-19): Paving the Road for Rapid Detection and Point-of-Care Diagnostics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7142866/,Micromachines,Investigative Study,RT-LAMP,-,RT-LAMP Sensitivity >95%,RT-LAMP <1 hr,Y,2020-04-25
54,2020-03-14,"Coronavirus disease 2019, whart we know : Review",https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25766,Journal of medical viriology ,Investigative Study,RT-PCR,866,The positive rate of RT‐PCR for throat swab samples was reported to be about 60% in early stage of COVID‐19. CT in suspected patients was 97% based on positive RT‐PCR result and 75% based on negative RT‐PCR results,-,Y,2020-04-25
55,2020-03-26,"Report from the American Society for Microbiology COVID-19 International Summit, 23 March 2020: Value of Diagnostic Testing for SARS–CoV-2/COVID-19",https://mbio.asm.org/content/11/2/e00722-20.abstract,American society of microbiology,Investigative Study,RT-PCR,-,-,-,Y,2020-04-25
56,2020-03-30,Highly accurate and sensitive diagnostic detection of SARS-CoV-2 by digital PCR,https://www.medrxiv.org/content/10.1101/2020.03.14.20036129v2,medRxiv,Investigative Study,RT-dPCR,194,"The overall sensitivity, specificity and diagnostic accuracy of RT-dPCR were 90%, 100% and 93 %, respectively",<24 hrs,Y,2020-04-25
57,2020-03-30,"SARS-CoV-2 detection using digital PCR for COVID-19 diagnosis, treatment monitoring and criteria for discharge",https://www.medrxiv.org/content/10.1101/2020.03.24.20042689v1,medRxiv,Investigative Study,RT-PCR,36,The lower limit of detection of the optimize dPCR is at least 10-fold lower than that of RT-PCR. The overall accuracy of dPCR for clinical detection is 96.3%,-,Y,2020-04-25
58,2020-03-30,"SARS-CoV-2 detection using digital PCR for COVID-19 diagnosis, treatment monitoring and criteria for discharge",https://www.medrxiv.org/content/10.1101/2020.03.24.20042689v2,medRxiv,Investigative Study,dPCR,36,The lower limit of detection of the optimize dPCR is at least 10-fold lower than that of RT-PCR. The overall accuracy of dPCR for clinical detection is 96.3%,-,Y,2020-04-25
59,2020-04-03,The Laboratory Diagnosis of COVID-19 Infection: Current Issues and Challenges,https://jcm.asm.org/content/early/2020/04/03/JCM.00512-20.long,Journal of Clinical Microbiology,Investigative Study,RT-PCR,426,-,-,Y,2020-04-25
60,2020-04-13,Diagnostic Testing for Severe Acute Respiratory Syndrome-Related Coronavirus-2: A Narrative Review.,https://www.ncbi.nlm.nih.gov/pubmed/32282894,Annals of Internal Medicine,Investigative Study,"RT-PCR, Serology",-,-,>1 Hour NAAT (PCR),Y,2020-04-25
61,2020-04-16,Geospatial Hotspots Need Point-of-Care Strategies to Stop Highly Infectious Outbreaks: Ebola and Coronavirus.,https://www.ncbi.nlm.nih.gov/pubmed/32298139,Arch Pathol Lab Med,Investigative Study,RT-PCR,136 studies,-,PCR: 2-6 Hours; LAMP N/A; Serology N/A,Y,2020-04-25
62,2020-04-23,Comparison of Abbott ID Now and Abbott m2000 methods for the detection of SARS-CoV-2 from nasopharyngeal and nasal swabs from symptomatic patients.,https://jcm.asm.org/content/jcm/early/2020/04/23/JCM.00798-20.full.pdf,American Society for Microbiology,Investigative Study,Isothermal amplification,524 (paired),-,5-13 mins,N,2020-04-25
63,Unknown,Geospatial Hotspots Need Point-of-Care Strategies to Stop Highly Infectious Outbreaks: Ebola and Coronavirus.,https://www.ncbi.nlm.nih.gov/pubmed/32298139,Arch Pathol Lab Med,Investigative Study,LAMP,136 studies,-,-,Y,2020-04-25
