Order,Format,Column Heading,Data Type,Best practice
43,Format 8,Severity lower bound,Numerical,"If the outcome being measured is risk of severe clinical symptoms of COVID-19, then use these columns to report the risk ratio, odds ratio, or hazard ratio, or adjusted risk ratio, adjusted odds ratio, or adjusted hazard ratio (RR, OR, HR, ARR, AOR, AHR) and its 95% confidence interval, and the p-value for the t-test that the value is not equal to 1.0 (i.e., the no effect level). Definitions of severe COVID-19 vary, and more than one definition may be acceptable. There is a separate column for recording the definition given for severity of clinical outcomes. Sometimes that definition includes a composite endpoint (e.g., mechanical ventilation OR death). This is still considered a measure of severity for our purposes. Only if the outcome is strictly survivors vs. non-survivors does this data go under the ‘Fatality’ / ‘Fatality lower bound’ / ‘Fatality upper bound’ / ‘Fatality p-value’ instead. If the comparison between survivors and non-survivors excludes those still hospitalized at the end of the follow-up interval, then the ‘Severe definition’ column should read ‘death vs. discharged’ rather than ‘survivors vs. non-survivors’. For the purposes of presenting our results to the public, we differentiate between two types of ‘Severe definition’ - ‘critical only’ and everything else. ‘Critical only’ means ICU admission, mechanical ventilation, multiple organ failure, or ARDS. Any definition that is broader than this (e.g., the classic definition of pneumonia severity) falls in the other category."
44,Format 8,Severity upper bound,,
45,Format 8,Severity p-value,,
46,Format 8,Severe significance,,
47,Format 8,Severe adjusted,,
48,Format 8,Hand-calculated Severe,,
49,Format 8,Fatality,,
50,Format 8,Fatality lower bound,,
51,Format 8,Fatality upper bound,,
52,Format 8,Fatality p-value,,
53,Format 8,Fatality significance,,
54,Format 8,Fatality adjusted,,
55,Format 8,Hand-calculated Fatality,,
56,Format 8,Multivariate adjustment,Excerpt,"If the risk ratio or odds ratio or hazard ratio is adjusted for confounding, list the confounders here by copy-pasting from the text. For instance, in a multivariate logistic regression model for death vs. discharge including the predictors COPD, heart disease, gender and age, the ‘multivariate adjustment’ variables listed for the AOR for COPD would be heart disease, gender and age."
57,Format 8,Sample size,Parameter: value,"Indicate the number of patients (patients: n) used in the analysis related to the RQ.  If the study is a meta-analysis/review,  also indicate the number of studies included in the meta-analysis/review (studies: n)."
58,Format 8,Study population,Excerpt,Copy-paste a word or phrase that names the population being studied.
